week_start,weekly_spend,weekly_conversions,weekly_cpa,prev_week_spend,prev_week_conversions,spend_wow_pct,conversions_wow_pct,alert_flag
2024-01-02,3053.89,56,54.53,,,,,Normal
2024-01-02,1926.9,47,41.0,3053.89,56.0,-36.9,0.0,Flag — significant swing
2024-01-09,13451.31,300,44.84,1926.9,47.0,598.1,500.0,Flag — significant swing
2024-01-09,2475.12,80,30.94,13451.31,300.0,-81.6,0.0,Flag — significant swing
2024-01-16,16917.47,273,61.97,2475.12,80.0,583.5,200.0,Flag — significant swing
2024-01-16,3323.07,83,40.04,16917.47,273.0,-80.4,0.0,Flag — significant swing
2024-01-23,19596.82,387,50.64,3323.07,83.0,489.7,300.0,Flag — significant swing
2024-01-23,3335.74,49,68.08,19596.82,387.0,-83.0,0.0,Flag — significant swing
2024-01-30,16979.06,329,51.61,3335.74,49.0,409.0,500.0,Flag — significant swing
2024-01-30,1510.87,58,26.05,16979.06,329.0,-91.1,0.0,Flag — significant swing
2024-02-06,15692.06,373,42.07,1510.87,58.0,938.6,500.0,Flag — significant swing
2024-02-06,2989.29,74,40.4,15692.06,373.0,-81.0,0.0,Flag — significant swing
2024-02-13,16593.35,406,40.87,2989.29,74.0,455.1,400.0,Flag — significant swing
2024-02-13,2782.0,56,49.68,16593.35,406.0,-83.2,0.0,Flag — significant swing
2024-02-20,16868.41,382,44.16,2782.0,56.0,506.3,500.0,Flag — significant swing
2024-02-20,3622.37,64,56.6,16868.41,382.0,-78.5,0.0,Flag — significant swing
2024-02-27,17758.92,333,53.33,3622.37,64.0,390.3,400.0,Flag — significant swing
2024-02-27,3020.98,76,39.75,17758.92,333.0,-83.0,0.0,Flag — significant swing
2024-03-05,17150.74,278,61.69,3020.98,76.0,467.7,200.0,Flag — significant swing
2024-03-05,3080.55,54,57.05,17150.74,278.0,-82.0,0.0,Flag — significant swing
2024-03-12,19389.1,423,45.84,3080.55,54.0,529.4,600.0,Flag — significant swing
2024-03-12,3547.72,75,47.3,19389.1,423.0,-81.7,0.0,Flag — significant swing
2024-03-19,18893.71,482,39.2,3547.72,75.0,432.6,500.0,Flag — significant swing
