channel,month,monthly_spend,monthly_conversions,cumulative_spend,cumulative_conversions,pct_of_channel_annual_spend
Display,2024-02,9152.09,145,9152.09,145,15.4
Display,2024-03,4858.48,70,14010.57,215,8.2
Display,2024-06,5700.55,78,19711.12,293,9.6
Display,2024-07,6552.61,85,26263.73,378,11.0
Display,2024-08,2641.88,32,28905.61,410,4.4
Display,2024-10,19169.86,269,48075.47,679,32.3
Display,2024-11,11327.27,163,59402.74,842,19.1
Paid Search,2024-02,15077.45,545,15077.45,545,6.9
Paid Search,2024-03,16581.3,620,31658.75,1165,7.6
Paid Search,2024-04,18223.34,688,49882.09,1853,8.3
Paid Search,2024-05,8488.58,337,58370.67,2190,3.9
Paid Search,2024-06,9655.06,356,68025.73,2546,4.4
Paid Search,2024-07,45956.66,1742,113982.39,4288,21.1
Paid Search,2024-08,12798.95,476,126781.34,4764,5.9
Paid Search,2024-09,23496.32,908,150277.66,5672,10.8
Paid Search,2024-10,53576.45,1946,203854.11,7618,24.5
Paid Search,2024-11,13706.47,513,217560.58,8131,6.3
Paid Search,2024-12,748.06,21,218308.64,8152,0.3
Paid Social,2024-01,14720.14,363,14720.14,363,5.6
Paid Social,2024-02,26884.81,709,41604.95,1072,10.2
Paid Social,2024-03,33397.45,839,75002.4,1911,12.7
Paid Social,2024-04,31373.46,728,106375.86,2639,11.9
Paid Social,2024-05,20580.2,494,126956.06,3133,7.8
Paid Social,2024-06,23532.12,557,150488.18,3690,8.9
Paid Social,2024-07,17388.95,430,167877.13,4120,6.6
Paid Social,2024-08,22053.91,573,189931.04,4693,8.4
Paid Social,2024-09,29293.28,797,219224.32,5490,11.1
Paid Social,2024-10,20890.92,500,240115.24,5990,7.9
Paid Social,2024-11,22295.01,566,262410.25,6556,8.5
Paid Social,2024-12,589.95,15,263000.2,6571,0.2
Programmatic,2024-01,6860.45,83,6860.45,83,3.7
Programmatic,2024-02,24004.16,327,30864.61,410,13.1
Programmatic,2024-03,38216.66,574,69081.27,984,20.9
Programmatic,2024-04,3221.73,31,72303.0,1015,1.8
Programmatic,2024-05,18766.56,250,91069.56,1265,10.3
Programmatic,2024-06,12363.02,171,103432.58,1436,6.8
Programmatic,2024-07,16964.44,200,120397.02,1636,9.3
Programmatic,2024-08,26532.59,317,146929.61,1953,14.5
Programmatic,2024-09,10198.63,127,157128.24,2080,5.6
Programmatic,2024-10,16899.37,230,174027.61,2310,9.2
Programmatic,2024-11,4322.98,37,178350.59,2347,2.4
Programmatic,2024-12,4622.71,40,182973.3,2387,2.5
Video,2024-01,49127.7,924,49127.7,924,23.7
Video,2024-02,5214.63,109,54342.33,1033,2.5
Video,2024-04,22020.25,419,76362.58,1452,10.6
Video,2024-05,22665.67,439,99028.25,1891,10.9
Video,2024-06,13398.09,282,112426.34,2173,6.5
Video,2024-07,7807.7,154,120234.04,2327,3.8
Video,2024-08,18929.28,390,139163.32,2717,9.1
Video,2024-09,1903.87,30,141067.19,2747,0.9
Video,2024-10,17791.79,305,158858.98,3052,8.6
Video,2024-11,29574.28,587,188433.26,3639,14.3
Video,2024-12,18701.37,351,207134.63,3990,9.0
