month,active_campaigns,total_spend,total_impressions,total_clicks,total_conversions,cpa,spend_mom_pct,conv_mom_pct,cpa_mom_pct,ytd_spend,ytd_conversions,monthly_signal
2024-01,5,70708.29,26100553,127361,1370,51.61,,,,70708.29,1370,Stable
2024-02,13,80333.14,36278474,148730,1835,43.78,13.6,0.0,-15.2,151041.43,3205,Positive momentum
2024-03,13,93053.89,53191125,187387,2103,44.25,15.8,0.0,1.1,244095.32,5308,Positive momentum
2024-04,10,74838.78,14097846,105366,1866,40.11,-19.6,0.0,-9.4,318934.1,7174,Declining — review required
2024-05,9,70501.01,28792564,128078,1520,46.38,-5.8,0.0,15.6,389435.11,8694,Declining — review required
2024-06,11,64648.84,27677209,110327,1444,44.77,-8.3,0.0,-3.5,454083.94999999995,10138,Stable
2024-07,14,94670.36,29348019,139865,2611,36.26,46.4,0.0,-19.0,548754.3099999999,12749,Positive momentum
2024-08,13,82956.61,40094964,157945,1788,46.4,-12.4,0.0,28.0,631710.9199999999,14537,Declining — review required
2024-09,11,64892.1,14883096,90411,1862,34.85,-21.8,0.0,-24.9,696603.0199999999,16399,Stable
2024-10,16,128328.39,44599750,201298,3250,39.49,97.8,0.0,13.3,824931.4099999999,19649,Positive momentum
2024-11,11,81226.01,30133842,135530,1866,43.53,-36.7,0.0,10.2,906157.4199999999,21515,Declining — review required
2024-12,6,24662.09,13478934,48334,427,57.76,-69.6,0.0,32.7,930819.5099999999,21942,Declining — review required
